LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
782,2.39,100,,1
768,2.32,100,,2
786,2.41,100,,3
786,2.41,100,,4
752,2.25,100,,5
805,2.5,100,,6
766,2.31,100,,7
794,2.45,100,,8
783,2.39,100,,9
767,2.32,100,,10
798,2.47,100,,11
761,2.29,100,,12
800,2.48,100,,13
777,2.37,100,,14
779,2.37,100,,15
