LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
917,3.13,80,,1
937,3.26,80,,2
928,3.2,80,,3
905,3.06,80,,4
887,2.95,80,,5
893,2.98,80,,6
901,3.03,80,,7
908,3.07,80,,8
916,3.12,80,,9
924,3.17,80,,10
934,3.24,80,,11
939,3.27,80,,12
930,3.21,80,,13
911,3.09,80,,14
887,2.95,80,,15
891,2.97,80,,16
