LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
777,2.37,140,,1
808,2.52,140,,2
772,2.34,140,,3
807,2.51,140,,4
787,2.41,140,,5
798,2.47,140,,6
802,2.49,140,,7
781,2.38,140,,8
809,2.52,140,,9
781,2.38,140,,10
801,2.48,140,,11
796,2.46,140,,12
788,2.42,140,,13
810,2.53,140,,14
776,2.36,140,,15
