LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
960,3.41,180,,1
943,3.3,180,,2
960,3.41,180,,3
955,3.38,180,,4
956,3.38,180,,5
964,3.44,180,,6
946,3.32,180,,7
961,3.42,180,,8
950,3.34,180,,9
959,3.4,180,,10
962,3.42,180,,11
951,3.35,180,,12
962,3.42,180,,13
946,3.32,180,,14
959,3.4,180,,15
