LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
917,3.13,140,,1
955,3.38,140,,2
938,3.26,140,,3
948,3.33,140,,4
952,3.36,140,,5
928,3.2,140,,6
956,3.38,140,,7
934,3.24,140,,8
951,3.35,140,,9
948,3.33,140,,10
939,3.27,140,,11
959,3.4,140,,12
930,3.21,140,,13
953,3.36,140,,14
943,3.3,140,,15
