LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
618,1.72,60,,1
694,2.0,60,,2
705,2.05,60,,3
717,2.1,60,,4
710,2.07,60,,5
682,1.96,60,,6
650,1.83,60,,7
659,1.87,60,,8
667,1.9,60,,9
676,1.93,60,,10
685,1.97,60,,11
696,2.01,60,,12
706,2.05,60,,13
717,2.1,60,,14
717,2.1,60,,15
