LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
731,2.16,100,,1
724,2.13,100,,2
778,2.37,100,,3
739,2.19,100,,4
765,2.31,100,,5
756,2.27,100,,6
735,2.17,100,,7
774,2.35,100,,8
736,2.18,100,,9
772,2.34,100,,10
751,2.25,100,,11
749,2.24,100,,12
769,2.33,100,,13
732,2.16,100,,14
778,2.37,100,,15
