LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
416,1.15,20,,1
482,1.31,20,,2
495,1.35,20,,3
441,1.21,20,,4
459,1.25,20,,5
476,1.3,20,,6
490,1.33,20,,7
504,1.37,20,,8
517,1.41,20,,9
530,1.44,20,,10
544,1.48,20,,11
558,1.53,20,,12
570,1.56,20,,13
487,1.32,20,,14
497,1.35,20,,15
