LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
0,0.5,0,,1
0,0.5,0,,2
0,0.5,0,,3
0,0.5,0,,4
0,0.5,0,,5
1,0.5,0,,6
0,0.5,0,,7
0,0.5,0,,8
0,0.5,0,,9
1,0.5,0,,10
0,0.5,0,,11
1,0.5,0,,12
1,0.5,0,,13
1,0.5,0,,14
0,0.5,0,,15
