LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
945,3.31,120,,1
917,3.13,120,,2
954,3.37,120,,3
926,3.19,120,,4
946,3.32,120,,5
939,3.27,120,,6
923,3.17,120,,7
954,3.37,120,,8
923,3.17,120,,9
949,3.34,120,,10
935,3.24,120,,11
933,3.23,120,,12
950,3.34,120,,13
918,3.14,120,,14
951,3.35,120,,15
