LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
964,3.44,220,,1
967,3.46,220,,2
963,3.43,220,,3
965,3.44,220,,4
956,3.38,220,,5
964,3.44,220,,6
966,3.45,220,,7
963,3.43,220,,8
966,3.45,220,,9
958,3.4,220,,10
965,3.44,220,,11
963,3.43,220,,12
963,3.43,220,,13
966,3.45,220,,14
961,3.42,220,,15
965,3.44,220,,16
