LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
959,3.4,200,,1
964,3.44,200,,2
959,3.4,200,,3
964,3.44,200,,4
951,3.35,200,,5
962,3.42,200,,6
959,3.4,200,,7
961,3.42,200,,8
965,3.44,200,,9
955,3.38,200,,10
964,3.44,200,,11
955,3.38,200,,12
962,3.42,200,,13
965,3.44,200,,14
957,3.39,200,,15
