LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
779,2.37,120,,1
769,2.33,120,,2
782,2.39,120,,3
786,2.41,120,,4
756,2.27,120,,5
798,2.47,120,,6
765,2.31,120,,7
788,2.42,120,,8
781,2.38,120,,9
769,2.33,120,,10
798,2.47,120,,11
761,2.29,120,,12
792,2.44,120,,13
776,2.36,120,,14
777,2.37,120,,15
