LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
738,2.19,80,,1
775,2.36,80,,2
761,2.29,80,,3
739,2.19,80,,4
723,2.12,80,,5
732,2.16,80,,6
741,2.2,80,,7
749,2.24,80,,8
759,2.28,80,,9
770,2.33,80,,10
780,2.38,80,,11
783,2.39,80,,12
769,2.33,80,,13
750,2.24,80,,14
726,2.14,80,,15
733,2.17,80,,16
