LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
341,0.99,20,,1
406,1.13,20,,2
442,1.21,20,,3
470,1.28,20,,4
491,1.33,20,,5
416,1.15,20,,6
430,1.18,20,,7
443,1.21,20,,8
455,1.24,20,,9
467,1.27,20,,10
479,1.3,20,,11
491,1.33,20,,12
503,1.37,20,,13
516,1.4,20,,14
531,1.45,20,,15
