LDR,LUX,BRIGHTNESS,Unnamed: 3,waktu
823,2.59,220,,1
830,2.63,220,,2
825,2.6,220,,3
830,2.63,220,,4
820,2.58,220,,5
829,2.62,220,,6
829,2.62,220,,7
825,2.6,220,,8
829,2.62,220,,9
822,2.59,220,,10
828,2.62,220,,11
824,2.6,220,,12
827,2.61,220,,13
830,2.63,220,,14
823,2.59,220,,15
